frame,time_s,side,shoulder_elev,elbow_flex
184,6.1333,right,23.16,90.43
185,6.1667,right,11.69,91.86
186,6.2,right,2.77,92.69
187,6.2333,right,2.2,96.75
188,6.2667,right,-14.18,101.33
189,6.3,right,-23.13,104.19
190,6.3333,right,-33.73,104.33
191,6.3667,right,-45.37,116.19
192,6.4,right,-55.98,122.26
193,6.4333,right,-60.57,126.33
194,6.4667,right,-63.75,125.67
195,6.5,right,-59.3,131.11
196,6.5333,right,-57.0,131.42
197,6.5667,right,-56.19,132.12
198,6.6,right,-55.26,131.58
199,6.6333,right,-56.34,133.88
200,6.6667,right,-55.65,132.22
201,6.7,right,-57.62,132.89
202,6.7333,right,-61.56,132.4
203,6.7667,right,-66.53,130.42
204,6.8,right,-69.81,131.66
205,6.8333,right,-72.03,135.48
206,6.8667,right,-72.66,139.67
207,6.9,right,-72.53,139.05
208,6.9333,right,-72.0,143.58
209,6.9667,right,-71.46,139.01
210,7.0,right,-71.19,136.5
211,7.0333,right,-70.84,134.27
212,7.0667,right,-72.26,135.77
213,7.1,right,-72.88,137.41
214,7.1333,right,-74.72,137.75
215,7.1667,right,-75.37,142.36
216,7.2,right,-76.75,147.49
217,7.2333,right,-75.78,145.61
218,7.2667,right,-75.25,146.88
219,7.3,right,-74.74,150.9
220,7.3333,right,-74.74,154.22
221,7.3667,right,-72.67,153.01
222,7.4,right,-70.34,151.8
223,7.4333,right,-69.72,151.61
224,7.4667,right,-68.75,151.92
225,7.5,right,-68.63,153.15
226,7.5333,right,-69.28,154.84
227,7.5667,right,-68.63,154.43
228,7.6,right,-67.53,153.03
229,7.6333,right,-67.43,151.14
230,7.6667,right,-67.56,150.31
231,7.7,right,-68.83,148.46
232,7.7333,right,-68.55,148.93
233,7.7667,right,-68.09,148.01
234,7.8,right,-68.69,147.48
235,7.8333,right,-68.57,145.26
236,7.8667,right,-68.61,144.42
237,7.9,right,-69.17,143.66
238,7.9333,right,-69.52,140.85
239,7.9667,right,-70.09,141.64
